prompt
an airplane and a book and a broccoli and a keyboard
an airplane and an elephant and an orange and a window
a bear and a bowl and a carrot and a surfboard
a fork and a keyboard and a person and a plate
a door and a fork and a skateboard and a snowboard
an elephant and a fork and a keyboard and a vase
a bear and a keyboard and a toaster and a train
a knife and a plate and a surfboard and a truck
a door and a fork and a keyboard and an orange
a car and an elephant and a keyboard and a truck
a book and a hat and a keyboard and a knife
a bed and a frisbee and a giraffe and a toothbrush
a bear and a bottle and an orange and a toaster
an orange and a toaster and a truck and a zebra
a bed and a door and a sheep and a surfboard
a book and a hat and a sandwich and a vase
a bear and a skateboard and a surfboard and a vase
a bed and a bicycle and a carrot and a toothbrush
a bear and a horse and a toothbrush and a zebra
a bed and a broccoli and a cow and a snowboard
a bed and a car and a couch and a toothbrush
a bowl and a surfboard and a toothbrush and a zebra
a backpack and a frisbee and a horse and a sink
a couch and a hat and a laptop and a suitcase
an airplane and a book and a fork and a refrigerator
a bicycle and a bottle and a toaster and a toothbrush
a horse and a sandwich and a snowboard and a zebra
a bed and a fork and a hat and a train
a bed and a clock and a keyboard and a vase
a carrot and a microwave and a mouse and a truck
a giraffe and a horse and a sink and a snowboard
a giraffe and a microwave and a refrigerator and an umbrella
a bicycle and a book and a horse and a sandwich
a cat and a clock and a frisbee and a person
a bowl and a cat and a surfboard and a truck
a door and a fork and a microwave and a toilet
a bus and a donut and a mirror and a refrigerator
a backpack and a bus and a clock and a train
a bottle and an orange and a snowboard and a surfboard
an airplane and a bicycle and an orange and an oven
a bottle and a keyboard and a person and a sandwich
a clock and a snowboard and a train and an umbrella
a carrot and an oven and a sink and a window
a horse and a plate and a refrigerator and a vase
a backpack and a donut and a knife and a plate
a bottle and an elephant and a giraffe and a toaster
a couch and a donut and an orange and an oven
an airplane and a cat and a mirror and a train
a bicycle and a laptop and a skateboard and a toothbrush
a broccoli and a horse and a laptop and a vase
a bottle and a donut and a fork and a knife
a backpack and a snowboard and a toilet and a window
a broccoli and a carrot and a giraffe and a toaster
a carrot and a couch and an oven and a sheep
a cow and a door and a laptop and a zebra
an airplane and a mouse and a sandwich and a toothbrush
a backpack and a cat and a person and a vase
a horse and a knife and a sink and a skateboard
an airplane and a sandwich and a toaster and a truck
a couch and a giraffe and a keyboard and a sheep
a cow and a door and a person and a zebra
a bus and a couch and an elephant and a sheep
a bus and a car and a carrot and a sandwich
a bicycle and a book and an orange and a skateboard
a bus and an elephant and an oven and a person
a bed and a donut and a train and a zebra
a frisbee and a person and a surfboard and a toaster
