prompt
a dog and an elephant and a hat
a boat and a door and a horse
a carrot and an elephant and a train
a bird and a bottle and a door
a fork and a keyboard and a suitcase
a bed and a carrot and an umbrella
an apple and a chair and a dog
a kite and a shoe and a toaster
a mouse and a pizza and a sandwich
a dog and a knife and a person
an airplane and a person and a pizza
a laptop and a pizza and a zebra
a couch and a donut and a window
an elephant and a giraffe and a mouse
a bottle and an elephant and a zebra
a bed and an oven and a surfboard
a horse and a person and a window
a cake and a cup and a keyboard
a laptop and a microwave and a mouse
a bed and a cup and a kite
a kite and a pizza and a refrigerator
a mirror and a mouse and a window
a book and a frisbee and a window
a frisbee and a toothbrush and a tv
a clock and a mouse and a train
a donut and a frisbee and a handbag
a blender and a bus and a hat
a backpack and a banana and a microwave
a motorcycle and an orange and a pizza
a boat and a couch and a remote
a backpack and a snowboard and a surfboard
a donut and a surfboard and a toothbrush
a clock and a kite and an oven
an apple and a car and a mirror
a car and a sheep and a tie
a desk and a snowboard and a toilet
a banana and a dog and a kite
a bear and a bicycle and a mirror
a bus and a fork and a suitcase
a book and a clock and a refrigerator
a cup and an oven and a person
a dog and a frisbee and a refrigerator
a spoon and a train and a vase
a knife and a mouse and a refrigerator
a bird and a dog and a zebra
a cat and a chair and a keyboard
a bowl and a door and a refrigerator
a microwave and a shoe and a vase
a bed and a bench and a carrot
an apple and a desk and a frisbee
a backpack and a cake and a knife
a car and a toaster and a zebra
a bicycle and a desk and a donut
a giraffe and a plate and a toaster
a bird and a knife and a toothbrush
a handbag and a mouse and a tv
a car and a sheep and a toothbrush
a blender and a couch and a horse
a mouse and a person and a toaster
a bench and a knife and a tv
a bowl and a tv and a window
a bicycle and a suitcase and a truck
an elephant and a giraffe and a zebra
a bench and an elephant and a handbag
a sheep and a truck and a window
a shoe and a surfboard and a train
a cup and a pizza and a surfboard
a clock and a frisbee and a skateboard
a dog and a horse and a microwave
a blender and a chair and a pizza
a broccoli and a bus and a skateboard
a bear and a clock and a refrigerator
a bear and a couch and a fork
a banana and a plate and a train
a dog and an elephant and a horse
a fork and a knife and a toaster
a bench and a sheep and a tv
an airplane and a bicycle and a toilet
a bear and a carrot and an oven
a bench and an oven and a truck
a cat and a chair and a skateboard
an airplane and a kite and a suitcase
a fork and a snowboard and an umbrella
a bird and a refrigerator and a tv
a clock and a giraffe and a suitcase
a refrigerator and a shoe and a truck
a fork and a keyboard and a plate
a boat and a sheep and a toilet
a cat and a handbag and a skateboard
a toaster and a truck and a window
a chair and a donut and a keyboard
a blender and a sheep and a toaster
an apple and a couch and a horse
a spoon and a toaster and a tv
a carrot and a couch and a handbag
a bicycle and a cat and a person
a toothbrush and a train and a vase
a bird and a toilet and a toothbrush
a broccoli and a giraffe and a knife
a bowl and a knife and a plate
a handbag and a skateboard and a train
a refrigerator and a remote and an umbrella
a laptop and an orange and a shoe
an elephant and a mouse and a suitcase
